LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	7.2337962962963E-07	0	0	1.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.73611111111111E-06	0	0	2.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	2.67650462962963E-06	0	0	3.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	3.61689814814815E-06	0	0	4.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	4.62962962962963E-06	0	0	5.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	5.57002314814815E-06	0	0	6.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	6.65509259259259E-06	0	0	7.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	7.52314814814815E-06	0	0	8.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	8.53587962962963E-06	0	0	9.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	9.54861111111111E-06	0	0	10.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.06336805555556E-05	0	0	11.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.15017361111111E-05	0	0	12.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.25868055555556E-05	0	0	13.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.34548611111111E-05	0	0	14.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.44675925925926E-05	0	0	15.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.48064	0.1207308	-0.4764453	1.54079861111111E-05	2	0	16.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.48064	0.1207308	-0.4764453	1.64930555555556E-05	2	2	17.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3574978	0.1024505	0.4651753	1.7505787037037E-05	8	0	18.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3574978	0.1024505	0.4651753	1.84461805555556E-05	8	6	19.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
