currentTime	dronesDensity	totalConflicts	conflictFrequency	LastReportedND_x	LastReportedND_y	LastReportedND_z	numberOfDrones	speed	
1	0	0	0	0	0	0	0	10	
2	0	0	0	0	0	0	0	10	
3	0	0	0	0	0	0	0	10	
4	0	0	0	0	0	0	0	10	
5	8E-06	0	0	0	0	0	8	10	
6	8E-06	0	0	0	0	0	8	10	
7	8E-06	0	0	0	0	0	8	10	
8	8E-06	0	0	0	0	0	8	10	
9	8E-06	0	0	0	0	0	8	10	
10	8E-06	0	0	0	0	0	8	10	
11	8E-06	0	0	0	0	0	8	10	
12	8E-06	0	0	0	0	0	8	10	
13	8E-06	0	0	0	0	0	8	10	
14	8E-06	1	1	-0.2080967	0.4292329	-0.2022651	8	10	
15	8E-06	2	1	-0.04684123	0.8739204	-0.3157883	8	10	
16	8E-06	2	0	-0.04684123	0.8739204	-0.3157883	8	10	
17	8E-06	2	0	-0.04684123	0.8739204	-0.3157883	8	10	
18	8E-06	2	0	-0.04684123	0.8739204	-0.3157883	8	10	
19	8E-06	2	0	-0.04684123	0.8739204	-0.3157883	8	10	
20	8E-06	2	0	-0.04684123	0.8739204	-0.3157883	8	10	
21	8E-06	2	0	-0.04684123	0.8739204	-0.3157883	8	10	
22	8E-06	3	1	-0.4877835	0.629792	-0.1528634	8	10	
23	8E-06	3	0	-0.4877835	0.629792	-0.1528634	8	10	
24	8E-06	3	0	-0.4877835	0.629792	-0.1528634	8	10	
25	8E-06	3	0	-0.4877835	0.629792	-0.1528634	8	10	
26	8E-06	3	0	-0.4877835	0.629792	-0.1528634	8	10	
27	8E-06	3	0	-0.4877835	0.629792	-0.1528634	8	10	
28	8E-06	4	1	-0.07132464	0.8040723	-0.03924619	8	10	
29	8E-06	4	0	-0.07132464	0.8040723	-0.03924619	8	10	
30	8E-06	5	1	-0.4020816	0.8033533	-0.1778554	8	10	
31	8E-06	5	0	-0.4020816	0.8033533	-0.1778554	8	10	
32	8E-06	5	0	-0.4020816	0.8033533	-0.1778554	8	10	
33	8E-06	5	0	-0.4020816	0.8033533	-0.1778554	8	10	
34	8E-06	6	1	-0.4415189	0.9314796	0.2421387	8	10	
35	8E-06	6	0	-0.4415189	0.9314796	0.2421387	8	10	
36	8E-06	6	0	-0.4415189	0.9314796	0.2421387	8	10	
37	8E-06	6	0	-0.4415189	0.9314796	0.2421387	8	10	
38	8E-06	6	0	-0.4415189	0.9314796	0.2421387	8	10	
39	8E-06	7	1	-0.2266857	0.9020738	0.2315671	8	10	
40	8E-06	8	1	-0.3978758	0.8966355	0.1885522	8	10	
41	8E-06	9	1	0.1112308	0.7133105	0.02130868	8	10	
42	8E-06	10	1	0.007537036	0.6818871	0.08989239	8	10	
43	8E-06	10	0	0.007537036	0.6818871	0.08989239	8	10	
44	8E-06	10	0	0.007537036	0.6818871	0.08989239	8	10	

1	6.4E-05	1	1	0.2791921	0.3892046	0.3955913	64	10	
2	6.4E-05	20	19	0.2181003	0.8243048	0.3682471	64	10	
3	6.4E-05	41	21	-0.4209998	0.2236222	0.2051926	64	10	
4	6.4E-05	64	23	0.2088951	0.0993369	-0.2371463	64	10	
5	6.4E-05	95	31	0.3259161	0.4895624	-0.09051865	64	10	
6	6.4E-05	127	32	0.2587743	0.6584157	0.4655012	64	10	
7	6.4E-05	150	23	0.1581166	0.5588782	0.4384247	64	10	
8	6.4E-05	174	24	-0.3771617	0.7012103	0.2623225	64	10	
9	6.4E-05	190	16	0.2034589	0.6548842	-0.250753	64	10	
10	6.4E-05	214	24	0.1560899	0.8443522	0.05950824	64	10	
11	6.4E-05	241	27	-0.1973013	0.3558494	-0.05270718	64	10	
12	6.4E-05	270	29	-0.01749216	0.7744995	0.2108463	64	10	
13	6.4E-05	295	25	-0.1552649	0.1133895	-0.3254997	64	10	
14	6.4E-05	319	24	-0.02860015	0.6760521	0.3801743	64	10	
15	6.4E-05	341	22	-0.4268625	0.8671755	-0.2516576	64	10	
16	6.4E-05	361	20	0.2010362	0.7717607	-0.04686057	64	10	
17	6.4E-05	389	28	0.1667435	0.1962794	0.4331568	64	10	
18	6.4E-05	407	18	0.1068086	0.4804301	0.07583018	64	10	
19	6.4E-05	423	16	0.3508119	0.1640694	0.3082058	64	10	
20	6.4E-05	444	21	0.4023263	0.6762202	-0.08459909	64	10	
21	6.4E-05	458	14	0.2965733	0.05117784	0.2775332	64	10	
22	6.4E-05	481	23	0.06874407	0.2218442	0.419841	64	10	
23	6.4E-05	509	28	0.1907169	0.8377641	-0.004087135	64	10	
24	6.4E-05	535	26	0.2731836	0.5750268	-0.05618563	64	10	
25	6.4E-05	557	22	-0.05189688	0.4992907	0.07263886	64	10	
26	6.4E-05	577	20	0.1379863	0.1280558	-0.3766205	64	10	
27	6.4E-05	592	15	-0.05413313	0.341252	0.3487707	64	10	
28	6.4E-05	614	22	0.3367868	0.5999698	0.3150259	64	10	
29	6.4E-05	633	19	0.3773678	0.5900517	0.3978988	64	10	
30	6.4E-05	659	26	0.3902837	0.5909232	-0.1857141	64	10	
31	6.4E-05	675	16	-0.3755967	0.6908023	0.2273868	64	10	
32	6.4E-05	697	22	-0.1823636	0.2761072	-0.2270663	64	10	
33	6.4E-05	716	19	-0.07553808	0.6357154	0.03416332	64	10	
34	6.4E-05	736	20	-0.2637664	0.2475902	-0.3622707	64	10	
35	6.4E-05	755	19	0.02165121	0.5121235	0.4947043	64	10	
36	6.4E-05	774	19	-0.06028692	0.6085851	0.4787083	64	10	
37	6.4E-05	792	18	0.4128936	0.9215592	-0.270301	64	10	
38	6.4E-05	825	33	0.4879979	0.7871997	-0.2618328	64	10	
39	6.4E-05	842	17	-0.3665122	0.699837	-0.440845	64	10	
40	6.4E-05	866	24	0.3856594	0.6531785	-0.2049432	64	10	
41	6.4E-05	887	21	0.01821921	0.3545824	-0.02751119	64	10	
42	6.4E-05	904	17	-0.4197227	0.1254316	0.3177434	64	10	
43	6.4E-05	919	15	-0.0301183	0.08158439	-0.2443934	64	10	
44	6.4E-05	938	19	-0.4353475	0.03563795	0.1066858	64	10	
45	6.4E-05	951	13	0.1848035	0.4122313	-0.4918579	64	10	
46	6.4E-05	968	17	-0.4703559	0.7569261	-0.3438991	64	10	
47	6.4E-05	985	17	0.3183369	0.4374511	-0.4043524	64	10	
48	6.4E-05	1005	20	-0.04973439	0.3997009	0.436075	64	10	
49	6.4E-05	1023	18	-0.09191237	0.5046528	0.2279162	64	10	
50	6.4E-05	1049	26	-0.2087133	0.4842623	0.342214	64	10	
51	6.4E-05	1070	21	-0.1707491	0.3744425	0.3493022	64	10	
52	6.4E-05	1089	19	-0.2743756	0.5313818	0.464409	64	10	
53	6.4E-05	1105	16	0.2672646	0.07971784	0.4151912	64	10	
54	6.4E-05	1127	22	0.3985544	0.1013108	0.4072776	64	10	
55	6.4E-05	1142	15	-0.2194017	0.4666534	0.2764022	64	10	
56	6.4E-05	1160	18	-0.4936999	0.5981058	0.09545235	64	10	
57	6.4E-05	1177	17	-0.1097661	0.6245499	0.008158467	64	10	
58	6.4E-05	1190	13	-0.2424338	0.264934	-0.2125478	64	10	
59	6.4E-05	1205	15	-0.4833189	0.8594911	0.4731263	64	10	
60	6.4E-05	1220	15	-0.4148331	0.8402241	-0.4008353	64	10	
61	6.4E-05	1244	24	-0.02431147	0.4668759	-0.2561084	64	10	
62	6.4E-05	1258	14	-0.2936744	0.6459781	0.494995	64	10	
63	6.4E-05	1270	12	-0.3753966	0.8386676	0.09613051	64	10	
64	6.4E-05	1291	21	-0.1037678	0.4860388	0.494995	64	10	
65	6.4E-05	1306	15	-0.2226305	0.116038	-0.01333779	64	10	
66	6.4E-05	1324	18	-0.3784299	0.7221363	-0.1648906	64	10	
67	6.4E-05	1342	18	0.09484749	0.9785271	-0.3035486	64	10	
68	6.4E-05	1365	23	-0.1292222	0.9018375	-0.4027047	64	10	
69	6.4E-05	1384	19	-0.2033375	0.7786352	-0.01730559	64	10	
70	6.4E-05	1395	11	0.4272966	0.5608245	-0.4243555	64	10	
71	6.4E-05	1413	18	0.3011093	0.7345916	-0.02307927	64	10	
72	6.4E-05	1435	22	-0.03854902	0.2399585	0.2994794	64	10	
73	6.4E-05	1453	18	-0.4185953	0.7180756	-0.4592695	64	10	
74	6.4E-05	1471	18	0.3063378	0.7801396	-0.2034844	64	10	
75	6.4E-05	1486	15	0.2274305	0.7999982	-0.2139375	64	10	
76	6.4E-05	1502	16	0.4194939	0.2128624	0.109603	64	10	
77	6.4E-05	1516	14	0.4408131	0.3944427	0.4425255	64	10	
78	6.4E-05	1542	26	0.0569396	0.9467683	0.3398658	64	10	
79	6.4E-05	1556	14	0.431803	0.3922237	0.3428277	64	10	
80	6.4E-05	1578	22	0.4172971	0.8584014	-0.1326984	64	10	
81	6.4E-05	1591	13	-0.1580112	0.3709972	0.1490226	64	10	
82	6.4E-05	1610	19	0.3986672	0.9832388	0.2575702	64	10	
83	6.4E-05	1629	19	0.2099451	0.8201157	-0.2640936	64	10	
84	6.4E-05	1644	15	0.2634033	0.7362346	0.04810752	64	10	
85	6.4E-05	1662	18	-0.173946	0.6890464	-0.2838437	64	10	
86	6.4E-05	1673	11	-0.1838226	0.265012	-0.457233	64	10	
87	6.4E-05	1689	16	0.08964942	0.5337059	-0.3887956	64	10	
88	6.4E-05	1714	25	0.1375466	0.3126876	-0.03288239	64	10	
89	6.4E-05	1738	24	-0.3720872	0.5902544	-0.3248814	64	10	

1	6.4E-05	3	3	-0.4230884	0.7743965	0.1724781	64	10	
2	6.4E-05	24	21	-0.437236	0.3128147	0.4031427	64	10	

1	6.4E-05	0	0	0	0	0	64	10	
2	6.4E-05	16	16	-0.3039971	0.0728265	0.3263599	64	10	
3	6.4E-05	33	17	-0.210976	0.8099581	0.08929395	64	10	
4	6.4E-05	51	18	-0.4284827	0.3054758	0.1590867	64	10	
5	6.4E-05	75	24	-0.03121265	0.05780853	-0.1786856	64	10	
6	6.4E-05	102	27	-0.1819937	0.7582968	-0.1373432	64	10	
7	6.4E-05	117	15	-0.05503403	0.4154361	0.267703	64	10	
8	6.4E-05	142	25	0.2328719	0.8169007	-0.3866122	64	10	
9	6.4E-05	163	21	-0.425103	0.1260151	0.4085161	64	10	
10	6.4E-05	177	14	-0.37339	0.8535282	-0.04316416	64	10	
11	6.4E-05	191	14	0.3872911	0.6631401	0.1588932	64	10	
12	6.4E-05	215	24	0.2849658	0.5123881	-0.0635658	64	10	
13	6.4E-05	227	12	-0.3252702	0.9029869	-0.3594958	64	10	
