time	collisionFrequency	density	variance	alignmentGain	cohesionGain	separationGain	migrationGain	orthSepGain	a	c	speed	maxForce	flockingInterval	SOIRadius	
0	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
1.003358	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
2.005	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
3.005	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
4.003139	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
5.005	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
6.005	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
7.005	0	0	0	1	1	1	1	0	20	3	10	10	0.1	25	
8.00027	0	6.25E-06	0	1	1	1	1	0	20	3	10	10	0.1	25	
9.005	0	1.25E-05	5452.92960827927	1	1	1	1	0	20	3	10	10	0.1	25	
10.00324	0	1.25E-05	209.610280640396	1	1	1	1	0	20	3	10	10	0.1	25	
11.005	0	2.5E-05	1028.49837579003	1	1	1	1	0	20	3	10	10	0.1	25	
12.005	0	3.125E-05	481.143545748197	1	1	1	1	0	20	3	10	10	0.1	25	
13.005	0	3.75E-05	641.32772966757	1	1	1	1	0	20	3	10	10	0.1	25	
14.005	0	3.125E-05	980.140492285967	1	1	1	1	0	20	3	10	10	0.1	25	
15.005	0	2.5E-05	2574.60653221821	1	1	1	1	0	20	3	10	10	0.1	25	
16.005	0	2.5E-05	2572.54249816586	1	1	1	1	0	20	3	10	10	0.1	25	
17.005	0	2.5E-05	2608.03723146134	1	1	1	1	0	20	3	10	10	0.1	25	
18.005	0	3.125E-05	1520.34565009359	1	1	1	1	0	20	3	10	10	0.1	25	
19.005	0	2.5E-05	1359.66407789228	1	1	1	1	0	20	3	10	10	0.1	25	
20.005	0	2.5E-05	1179.15124170125	1	1	1	1	0	20	3	10	10	0.1	25	
21.005	0	3.75E-05	1519.76618705405	1	1	1	1	0	20	3	10	10	0.1	25	
22.005	0	2.5E-05	932.895550150044	1	1	1	1	0	20	3	10	10	0.1	25	
23.00488	0	3.75E-05	1522.116835899	1	1	1	1	0	20	3	10	10	0.1	25	
24.005	0	2.5E-05	2530.86356658385	1	1	1	1	0	20	3	10	10	0.1	25	
25.005	0	2.5E-05	3591.50516599855	1	1	1	1	0	20	3	10	10	0.1	25	
26.005	0	2.5E-05	3591.39671055324	1	1	1	1	0	20	3	10	10	0.1	25	
27.005	0	2.5E-05	3841.49280200966	1	1	1	1	0	20	3	10	10	0.1	25	
28.005	0	2.5E-05	3839.70566778542	1	1	1	1	0	20	3	10	10	0.1	25	
29.005	0	2.5E-05	2818.39760321254	1	1	1	1	0	20	3	10	10	0.1	25	
30.005	0	2.5E-05	2816.78980443383	1	1	1	1	0	20	3	10	10	0.1	25	
31.005	0	2.5E-05	533.076315219881	1	1	1	1	0	20	3	10	10	0.1	25	
32.005	1	2.5E-05	591.945295244102	1	1	1	1	0	20	3	10	10	0.1	25	
33.005	0	2.5E-05	2674.86758710478	1	1	1	1	0	20	3	10	10	0.1	25	
34.005	0	2.5E-05	2675.67348120265	1	1	1	1	0	20	3	10	10	0.1	25	
35.005	0	2.5E-05	3887.29198843276	1	1	1	1	0	20	3	10	10	0.1	25	
36.005	0	2.5E-05	3713.44100522116	1	1	1	1	0	20	3	10	10	0.1	25	
37.005	0	1.25E-05	2156.60520811026	1	1	1	1	0	20	3	10	10	0.1	25	
38.005	0	2.5E-05	2816.94633314294	1	1	1	1	0	20	3	10	10	0.1	25	
39.005	0	2.5E-05	2938.15596242833	1	1	1	1	0	20	3	10	10	0.1	25	
40.005	0	3.125E-05	2580.51566396377	1	1	1	1	0	20	3	10	10	0.1	25	
41.005	0	2.5E-05	4321.17432809335	1	1	1	1	0	20	3	10	10	0.1	25	
42.005	0	2.5E-05	3636.17737315761	1	1	1	1	0	20	3	10	10	0.1	25	
43.005	0	2.5E-05	3722.5486489514	1	1	1	1	0	20	3	10	10	0.1	25	
44.005	0	3.125E-05	2534.64313561176	1	1	1	1	0	20	3	10	10	0.1	25	
45.005	0	2.5E-05	2963.67050275869	1	1	1	1	0	20	3	10	10	0.1	25	
46.005	0	2.5E-05	560.461737129279	1	1	1	1	0	20	3	10	10	0.1	25	
47.005	0	2.5E-05	1169.47791637919	1	1	1	1	0	20	3	10	10	0.1	25	
48.005	0	2.5E-05	2152.70446021462	1	1	1	1	0	20	3	10	10	0.1	25	
49.005	2	2.5E-05	1913.59107225783	1	1	1	1	0	20	3	10	10	0.1	25	
50.00373	0	2.5E-05	1809.22082446798	1	1	1	1	0	20	3	10	10	0.1	25	
51.005	0	2.5E-05	2035.23264892686	1	1	1	1	0	20	3	10	10	0.1	25	
52.005	0	1.25E-05	3388.19339656292	1	1	1	1	0	20	3	10	10	0.1	25	
53.005	0	2.5E-05	2158.86036485238	1	1	1	1	0	20	3	10	10	0.1	25	
54.005	0	2.5E-05	2158.88783266918	1	1	1	1	0	20	3	10	10	0.1	25	
55.005	0	2.5E-05	2772.2665799274	1	1	1	1	0	20	3	10	10	0.1	25	
56.005	0	2.5E-05	2772.30467459925	1	1	1	1	0	20	3	10	10	0.1	25	
57.005	0	1.25E-05	6537.98399810627	1	1	1	1	0	20	3	10	10	0.1	25	
58.005	0	1.875E-05	3630.79713085023	1	1	1	1	0	20	3	10	10	0.1	25	
59.005	0	1.25E-05	1430.41255225179	1	1	1	1	0	20	3	10	10	0.1	25	
60.005	0	1.875E-05	4288.59499476701	1	1	1	1	0	20	3	10	10	0.1	25	
61.005	0	1.875E-05	4169.26381278857	1	1	1	1	0	20	3	10	10	0.1	25	
62.005	0	2.5E-05	2511.09176724942	1	1	1	1	0	20	3	10	10	0.1	25	
63.005	0	2.5E-05	2516.35733059679	1	1	1	1	0	20	3	10	10	0.1	25	
64.005	0	2.5E-05	366.965577987851	1	1	1	1	0	20	3	10	10	0.1	25	
65.005	0	3.125E-05	600.301476565766	1	1	1	1	0	20	3	10	10	0.1	25	
66.005	0	1.875E-05	1010.60966550878	1	1	1	1	0	20	3	10	10	0.1	25	
67.005	0	3.125E-05	413.669350008987	1	1	1	1	0	20	3	10	10	0.1	25	
68.005	0	2.5E-05	90.6501619155347	1	1	1	1	0	20	3	10	10	0.1	25	
69.005	0	2.5E-05	2845.08422203057	1	1	1	1	0	20	3	10	10	0.1	25	
70.005	0	2.5E-05	2863.40169930903	1	1	1	1	0	20	3	10	10	0.1	25	
71.005	0	2.5E-05	2870.54008119629	1	1	1	1	0	20	3	10	10	0.1	25	
72.005	0	2.5E-05	2847.53277377417	1	1	1	1	0	20	3	10	10	0.1	25	
73.005	0	1.875E-05	1615.37605910097	1	1	1	1	0	20	3	10	10	0.1	25	
74.005	0	2.5E-05	1703.92130289134	1	1	1	1	0	20	3	10	10	0.1	25	
75.005	0	1.875E-05	2832.21637361395	1	1	1	1	0	20	3	10	10	0.1	25	
76.005	0	2.5E-05	2138.5500355189	1	1	1	1	0	20	3	10	10	0.1	25	
77.005	0	2.5E-05	2023.1879572346	1	1	1	1	0	20	3	10	10	0.1	25	
78.005	0	2.5E-05	3452.3302065054	1	1	1	1	0	20	3	10	10	0.1	25	
79.005	0	2.5E-05	3658.0766987739	1	1	1	1	0	20	3	10	10	0.1	25	
80.005	0	2.5E-05	3026.70967467448	1	1	1	1	0	20	3	10	10	0.1	25	
81.005	0	2.5E-05	3825.69579197222	1	1	1	1	0	20	3	10	10	0.1	25	
82.005	0	2.5E-05	2386.15520397984	1	1	1	1	0	20	3	10	10	0.1	25	
83.005	0	2.5E-05	2379.95570149872	1	1	1	1	0	20	3	10	10	0.1	25	
84.005	0	2.5E-05	2579.54112114366	1	1	1	1	0	20	3	10	10	0.1	25	
85.005	0	3.125E-05	2054.6496735067	1	1	1	1	0	20	3	10	10	0.1	25	
86.005	0	2.5E-05	3010.07967158645	1	1	1	1	0	20	3	10	10	0.1	25	
87.005	0	2.5E-05	919.095038202453	1	1	1	1	0	20	3	10	10	0.1	25	
88.005	0	2.5E-05	1161.25244789735	1	1	1	1	0	20	3	10	10	0.1	25	
89.005	0	2.5E-05	2063.95715050639	1	1	1	1	0	20	3	10	10	0.1	25	
90.005	0	2.5E-05	2266.40006194903	1	1	1	1	0	20	3	10	10	0.1	25	
91.005	0	3.125E-05	2484.98029179465	1	1	1	1	0	20	3	10	10	0.1	25	
92.005	0	2.5E-05	3218.97083744316	1	1	1	1	0	20	3	10	10	0.1	25	
93.005	0	2.5E-05	2840.46339246048	1	1	1	1	0	20	3	10	10	0.1	25	
94.005	0	2.5E-05	2840.48498326735	1	1	1	1	0	20	3	10	10	0.1	25	
95.005	0	2.5E-05	3319.37652657719	1	1	1	1	0	20	3	10	10	0.1	25	
96.005	0	2.5E-05	3289.38168902582	1	1	1	1	0	20	3	10	10	0.1	25	
97.005	0	2.5E-05	3429.07286438957	1	1	1	1	0	20	3	10	10	0.1	25	
98.005	0	2.5E-05	3442.6651188385	1	1	1	1	0	20	3	10	10	0.1	25	
99.005	0	2.5E-05	829.798546426069	1	1	1	1	0	20	3	10	10	0.1	25	
100.005	0	2.5E-05	830.226850675388	1	1	1	1	0	20	3	10	10	0.1	25	
101.005	0	2.5E-05	1263.89819136876	1	1	1	1	0	20	3	10	10	0.1	25	
102.005	0	2.5E-05	1260.87202632602	1	1	1	1	0	20	3	10	10	0.1	25	
103.005	0	1.25E-05	4544.52173695562	1	1	1	1	0	20	3	10	10	0.1	25	
104.005	0	2.5E-05	2749.54074534263	1	1	1	1	0	20	3	10	10	0.1	25	
105.005	0	2.5E-05	2748.70323927682	1	1	1	1	0	20	3	10	10	0.1	25	
106.005	0	2.5E-05	2941.38264237295	1	1	1	1	0	20	3	10	10	0.1	25	
107.005	0	2.5E-05	2943.67601115803	1	1	1	1	0	20	3	10	10	0.1	25	
108.005	0	2.5E-05	1828.32013487391	1	1	1	1	0	20	3	10	10	0.1	25	
109.005	0	2.5E-05	2385.3466443795	1	1	1	1	0	20	3	10	10	0.1	25	
110.005	0	3.125E-05	1993.6681175001	1	1	1	1	0	20	3	10	10	0.1	25	
111.005	0	2.5E-05	2101.87077326392	1	1	1	1	0	20	3	10	10	0.1	25	
112.005	0	3.125E-05	1420.48780090076	1	1	1	1	0	20	3	10	10	0.1	25	
113.005	0	2.5E-05	3127.03117120359	1	1	1	1	0	20	3	10	10	0.1	25	
114.005	0	2.5E-05	3127.13073319009	1	1	1	1	0	20	3	10	10	0.1	25	
115.005	0	2.5E-05	1498.89756769935	1	1	1	1	0	20	3	10	10	0.1	25	
116.005	0	2.5E-05	1501.68031886071	1	1	1	1	0	20	3	10	10	0.1	25	
117.005	0	2.5E-05	2395.97459151487	1	1	1	1	0	20	3	10	10	0.1	25	
118.005	0	2.5E-05	2392.66237029376	1	1	1	1	0	20	3	10	10	0.1	25	
119.005	0	2.5E-05	2326.69374148216	1	1	1	1	0	20	3	10	10	0.1	25	
120.005	0	2.5E-05	2299.06691283837	1	1	1	1	0	20	3	10	10	0.1	25	
121.005	0	3.125E-05	1844.21460023685	1	1	1	1	0	20	3	10	10	0.1	25	
